IIA0,,IIA1,,IIB0,,IIB1,,IIC0,,IIC1,,
4.252,2.215,4.902,2.54,6.965,3.511,4.07,2.063,4.344,2.2,1.164,0.671,F
,1.197,,1.359,,1.635,,0.912,,0.98,,0.425,D
,0.841,,1.003,,1.819,,1.095,,1.164,,0.069,L
5.158,2.668,6.006,3.092,7.195,3.626,3.84,1.948,5.574,2.815,1.394,0.725,F
,1.423,,1.635,,1.693,,0.854,,1.288,,0.243,D
,1.067,,1.279,,1.877,,1.038,,1.471,,0.426,L
4.907,2.543,5.252,2.715,5.088,2.572,8.825,4.441,8.348,4.202,5.489,2.773,F
,1.36,,1.447,,1.166,,2.1,,1.981,,1.266,D
,1.004,,1.091,,1.35,,2.284,,2.165,,1.45,L
4.349,2.264,3.275,1.727,5.318,2.687,8.595,4.326,9.578,4.817,5.719,2.888,F
,1.221,,0.952,,1.224,,2.043,,2.289,,1.324,D
,0.865,,0.596,,1.407,,2.227,,2.472,,1.508,L
5.242,2.71,4.278,2.228,7.989,4.023,7.599,3.828,11.529,5.793,12.594,6.325,F
,1.444,,1.203,,1.891,,1.794,,2.776,,3.043,D
,1.088,,0.847,,2.075,,1.978,,2.96,,3.226,L
4.995,2.587,3.57,1.874,8.219,4.138,7.369,3.713,12.759,6.408,12.827,6.442,F
,1.382,,1.026,,1.949,,1.736,,3.084,,3.101,D
,1.026,,0.67,,2.133,,1.92,,3.268,,3.285,L
3.55,1.864,4.369,2.274,10.429,5.243,3.891,1.973,6.546,3.301,12.091,6.074,F
,1.021,,1.226,,2.501,,0.867,,1.531,,2.917,D
,0.665,,0.87,,2.685,,1.051,,1.714,,3.101,L
4.458,2.318,5.365,2.772,10.659,5.358,3.661,1.858,7.776,3.916,12.321,6.189,F
,1.248,,1.475,,2.559,,0.809,,1.838,,2.974,D
,0.892,,1.119,,2.743,,0.993,,2.022,,3.158,L
4.209,2.194,4.663,2.421,2.987,1.522,9.256,4.656,8.345,4.201,5.222,2.639,F
,1.186,,1.299,,0.641,,2.208,,1.98,,1.2,D
,0.83,,0.943,,0.825,,2.392,,2.164,,1.383,L
5.704,2.941,5.35,2.764,3.217,1.637,9.026,4.541,9.575,4.816,5.452,2.754,F
,1.56,,1.471,,0.698,,2.151,,2.288,,1.257,D
,1.204,,1.115,,0.882,,2.334,,2.472,,1.441,L
6.605,3.392,6.659,3.419,4.232,2.144,8.934,4.495,5.985,3.021,13.016,6.536,F
,1.785,,1.798,,0.952,,2.128,,1.39,,3.148,D
,1.429,,1.442,,1.136,,2.311,,1.574,,3.332,L
6.357,3.268,5.804,2.991,4.462,2.259,8.704,4.38,7.211,3.634,13.242,6.649,F
,1.723,,1.585,,1.01,,2.07,,1.697,,3.205,D
,1.367,,1.229,,1.193,,2.254,,1.881,,3.388,L
3.348,1.696,4.419,2.232,7.509,3.783,3.689,1.873,8.672,4.364,10.211,5.134,F
,0.716,,0.984,,1.771,,0.816,,2.062,,2.447,D
,0.936,,1.204,,1.955,,1,,2.246,,2.631,L
4.239,2.142,5.418,2.731,7.739,3.898,3.459,1.758,9.907,4.982,10.441,5.249,F
,0.939,,1.234,,1.829,,0.759,,2.371,,2.504,D
,1.159,,1.454,,2.013,,0.943,,2.555,,2.688,L
3.984,2.014,4.713,2.379,4.581,2.319,4.563,2.31,4.908,2.482,10.526,5.291,F
,0.875,,1.057,,1.039,,1.035,,1.121,,2.526,D
,1.095,,1.277,,1.223,,1.219,,1.305,,2.709,L
3.654,1.849,6.119,3.082,4.811,2.434,4.333,2.195,6.138,3.097,5.178,2.617,F
,0.793,,1.409,,1.097,,0.977,,1.429,,1.189,D
,1.013,,1.629,,1.281,,1.161,,1.612,,1.372,L
4.556,2.3,7.117,3.581,4.15,2.103,5.156,2.606,10.252,5.154,5.404,2.73,F
,1.018,,1.658,,0.932,,1.183,,2.457,,1.245,D
,1.238,,1.878,,1.115,,1.367,,2.641,,1.429,L
4.309,2.177,6.416,3.23,4.38,2.218,4.927,2.492,11.482,5.769,5.489,2.773,F
,0.956,,1.483,,0.989,,1.126,,2.765,,1.266,D
,1.176,,1.703,,1.173,,1.31,,2.948,,1.45,L
6.973,3.509,5.695,2.87,8.204,4.13,5.154,2.605,7.382,3.719,9.873,4.965,F
,1.622,,1.303,,1.945,,1.183,,1.74,,2.362,D
,1.842,,1.523,,2.129,,1.366,,1.923,,2.546,L
7.872,3.958,6.692,3.368,8.434,4.245,4.923,2.49,8.61,4.333,10.103,5.08,F
,1.847,,1.552,,2.003,,1.125,,2.047,,2.42,D
,2.067,,1.772,,2.186,,1.309,,2.23,,2.604,L
7.626,3.785,5.991,2.968,6.104,3.08,4.755,2.406,4.726,2.391,10.188,5.122,F
,2.023,,1.614,,1.42,,1.083,,1.076,,2.441,D
,1.819,,1.41,,1.604,,1.267,,1.259,,2.625,L
2.113,1.029,5.434,2.689,6.334,3.195,4.525,2.291,5.956,3.006,4.029,2.043,F
,0.644,,1.475,,1.478,,1.025,,1.383,,0.901,D
,0.44,,1.271,,1.661,,1.209,,1.567,,1.085,L
3.018,1.481,6.475,3.21,6.965,3.511,6.257,3.157,11.011,5.534,4.252,2.043,F
,0.871,,1.735,,1.635,,1.458,,2.647,,0.901,D
,0.667,,1.531,,1.819,,1.642,,2.831,,1.085,L
2.762,1.353,5.778,2.861,7.195,3.626,6.021,3.039,12.241,6.149,4.344,2.11,F
,0.807,,1.561,,1.693,,1.399,,2.954,,1.112,D
,0.603,,1.357,,1.877,,1.583,,3.138,,1.03,L
3.636,1.79,1.209,0.577,,,,,,,9.36,2.156,F
,1.025,,0.418,,,,,,,,1.135,D
,0.821,,0.214,,,,,,,,1.053,L
4.532,2.238,2.212,1.078,,,,,,,9.592,4.664,F
,1.249,,0.669,,,,,,,,2.389,D
,1.045,,0.465,,,,,,,,2.307,L
4.286,2.115,1.504,0.724,,,,,,,9.675,4.78,F
,1.188,,0.492,,,,,,,,2.447,D
,0.984,,0.288,,,,,,,,2.365,L
3.089,1.517,5.929,2.937,,,,,,,8.981,4.822,F
,0.888,,1.598,,,,,,,,2.468,D
,0.684,,1.394,,,,,,,,2.386,L
3.989,1.967,6.929,3.437,,,,,,,9.211,4.475,F
,1.113,,1.848,,,,,,,,2.294,D
,0.909,,1.644,,,,,,,,2.212,L
3.739,1.842,6.229,3.087,,,,,,,9.296,4.59,F
,1.051,,1.673,,,,,,,,2.352,D
,0.847,,1.469,,,,,,,,2.27,L
4.235,2.09,6.45,3.197,,,,,,,,,
,1.175,,1.729,,,,,,,,,
,0.971,,1.525,,,,,,,,,
5.135,2.54,7.454,3.699,,,,,,,,,
,1.4,,1.98,,,,,,,,,
,1.196,,1.776,,,,,,,,,
4.885,2.415,6.75,3.347,,,,,,,,,
,1.337,,1.804,,,,,,,,,
,1.133,,1.6,,,,,,,,,
3.521,1.733,2.474,1.209,,,,,,,,,
,0.996,,0.735,,,,,,,,,
,0.792,,0.531,,,,,,,,,
4.421,2.183,3.474,1.709,,,,,,,,,
,1.221,,0.985,,,,,,,,,
,1.017,,0.781,,,,,,,,,
4.171,2.058,2.772,1.358,,,,,,,,,
,1.159,,0.809,,,,,,,,,
,0.955,,0.605,,,,,,,,,
